id,name,organization,country,region_scope,category,career_stage,program_type,cycle,deadline,deadline_iso,internal_deadline,stipend_funding,compute_budget,duration,cohort_start,url,description
royal-society-urf,Royal Society University Research Fellowship (URF),The Royal Society,UK,UK,Academic & Research Councils,Early Career Researcher / Postdoc (3-8 years post-PhD),Multi-Year Fellowship,Late Summer / Early Autumn,"September 9, 2026 (15:00 BST)",2026-09-09,UK universities typically have internal selection panels in June/July,"Up to 8 years of funding; covers fellow salary + up to £90,000/year research expenses",Eligible for host institution HPC clusters and EPSRC supercomputing allocations,Up to 8 years,October 2027 – January 2028,https://royalsociety.org/grants/university-research-fellowship/,"Prestigious long-term research fellowship for outstanding scientists in the UK who have the potential to become leaders in their field, covering fundamental AI theory and computational sciences."
turing-ai-pioneer,Turing AI Pioneer Interdisciplinary Fellowships,UKRI / EPSRC & Alan Turing Institute,UK,UK (Hosted at eligible UK research institutions),Academic & Research Councils,Mid-career / Leading Principal Investigators,Multi-Year Fellowship,Autumn,"October 14, 2026 (Outline stage)",2026-10-14,University internal sift deadlines: early September,Multi-million pound flagship awards (up to 12 fellowships funded) to advance the UK AI Opportunities Action Plan,Direct priority access to the UK National AI Research Resource (AIRR - Isambard-AI & Dawn supercomputers),Up to 5 years,Summer/Autumn 2027,https://www.ukri.org/opportunity/turing-ai-pioneer-interdisciplinary-fellowships/,"UK government's national investment to anchor world-leading talent conducting interdisciplinary artificial intelligence breakthroughs across science, engineering, and society."
nsf-grfp-cise,NSF Graduate Research Fellowship Program (GRFP) - CISE/AI,National Science Foundation (NSF),USA,"USA (US citizens, nationals, permanent residents)",Academic & Research Councils,Undergraduate seniors or 1st/2nd-year PhD students,Multi-Year Fellowship,Autumn,"October 20, 2026 (20:00 ET; Reference letters October 16)",2026-10-20,Self-directed through Research.gov; letters must be requested early,"$37,000 annual living stipend for 3 years + $16,000 annual cost-of-education allowance to the institution (total $159,000 value)","Access to NSF ACCESS national supercomputing resources (Frontera, Bridges-2, Anvil)",3 years of funding over 5-year tenure,Fall 2027,https://www.nsfgrfp.org/,"The gold-standard US government graduate fellowship. The Computer & Information Science & Engineering (CISE) track funds foundational AI, machine learning theory, algorithms, and applied intelligent systems."
royal-society-dorothy-hodgkin,Royal Society Dorothy Hodgkin Fellowship,The Royal Society,UK,UK universities or non-profit research institutions,Academic & Research Councils,Early Career Researchers with flexible work needs (up to 6 years post-PhD),Multi-Year Fellowship,Autumn,"October 29, 2026 (15:00 BST)",2026-10-29,Host university approval required via Flexi-Grant by mid-October,"Up to 5 years fellow salary funding + up to £90,000/year research expenses",Research expense grant may be utilized directly for cloud compute or cluster allocations,Up to 5 years,October 2027,https://royalsociety.org/grants/dorothy-hodgkin-fellowship/,"Provides outstanding early career scientists with personal research fellowships who require a flexible working pattern due to personal circumstances (caring responsibilities, health, parental leave)."
ndseg-fellowship,NDSEG Fellowship (National Defense Science & Engineering Graduate),US Department of Defense (DoD),USA,USA (US citizens and nationals),Academic & Research Councils,Graduating seniors or 1st/2nd-year PhD students,Multi-Year Fellowship,Autumn,"October 30, 2026 (17:00 ET)",2026-10-30,Direct application via portal; early GRE/transcripts prep required,"Full tuition and mandatory fees paid + $43,200 annual stipend ($3,600/month) + $1,400/year health insurance allowance",DoD High Performance Computing Modernization Program (HPCMP) access,3 full years,Fall 2027,https://ndseg.sysplus.com/,"DoD-funded fellowship promoting science and engineering in areas of national interest, including autonomous systems, artificial intelligence, cyber, and high-performance computing."
hertz-fellowship,Fannie and John Hertz Foundation Fellowship,Fannie and John Hertz Foundation,USA,USA (US citizens and permanent residents pursuing PhD at participating US institutions),Academic & Research Councils,College seniors or 1st-year PhD students,Multi-Year Fellowship,Autumn,"October 30, 2026 (23:59 PT)",2026-10-30,Direct application; rigorous multi-round technical interviews in winter,"Up to $250,000 total value: $40,000 9-month stipend + full tuition and fees for up to 5 years + lifelong mentoring and community",Unrestricted financial and computational support via host university departments,Up to 5 years,Fall 2027,https://www.hertzfoundation.org/the-fellowship/,"One of the most competitive science and technology fellowships in the world, identifying and accelerating creative innovators in applied physical and mathematical sciences, machine learning, and computational engineering."
alan-turing-enrichment,Alan Turing Institute Doctoral Enrichment Scheme,The Alan Turing Institute,UK,UK (Registered PhD students at any recognized UK university),Academic & Research Councils,"2nd or 3rd year PhD students in AI, Data Science, Math, CS",Short / Medium Intensive,Mid Winter (Opens November),"January 19, 2027 (Typically mid-January)",2027-01-19,University PhD supervisor approval letter required,Placement at British Library hub in London + up to £450/month tax-free enrichment allowance + travel and masterclasses,Direct access to Turing Institute cloud computing credits (Azure/AWS) and national high-performance clusters (JADE & Baskerville),6 or 9 months (starting October 2027),October 2027,https://www.turing.ac.uk/work-turing/studentships/enrichment-scheme,"The UK's flagship national data science and AI enrichment program, giving PhD students the opportunity to collaborate with Turing research fellows and join the national research community."
leverhulme-ecf,Leverhulme Trust Early Career Fellowships (AI & Computing),The Leverhulme Trust,UK,UK (Hosted at eligible UK universities),Academic & Research Councils,Early Career Postdocs (PhD submitted within past 4 years),Multi-Year Fellowship,Late Winter (National deadline February),"February 25, 2027 (16:00 GMT)",2027-02-25,MANDATORY: UK universities hold internal selection competitions in October–December,"3 years: 50% salary funded by Leverhulme (up to £26,000/yr), 50% matched by host UK institution + up to £6,000/year research expenses",Host institution matching provides compute resources and laboratory infrastructure,3 years full-time,May 2027 – May 2028,https://www.leverhulme.ac.uk/early-career-fellowships,"Prestigious UK academic fellowship providing career independence for early career scholars pursuing novel, original research questions across AI, mathematics, and philosophy of mind."
raeng-research-fellowship,Royal Academy of Engineering Research Fellowship,Royal Academy of Engineering,UK,UK universities or research institutions,Academic & Research Councils,Early career researchers (within 4 years of PhD),Multi-Year Fellowship,Spring / Early Summer,"May 20, 2027 (Expression of Interest closes late spring)",2027-05-20,Host university internal screening cutoffs in March/April,"5 years 80% Full Economic Cost funding (approx. £500,000–£750,000 total) covering fellow salary and direct research costs","Dedicated capital research expense budget for servers, GPUs, and cloud computing",5 years full-time,October 2028,https://raeng.org.uk/programmes-and-prizes/programmes/uk-grants-and-prizes/support-for-research/,"Supports outstanding early-career engineering researchers in the UK across advanced robotics, machine learning architectures, and autonomous cyber-physical systems."
pivotal-fellowship,Pivotal Research Fellowship (AI Safety & Interpretability),Pivotal & London Initiative for Safe AI (LISA),UK,UK (London) / Open to international applicants,8-12 Week Funded Sprints & Training,"PhD students, ML engineers, and independent researchers",8-12 Week Intensive,Autumn & Spring Cohorts,"November 10, 2026 (Spring 2027 intake)",2026-11-10,None (Direct application; rolling review),"£6,000 – £8,000 stipend + £2,000 accommodation/travel support + free office space & catered meals at LISA London","£2,500 – £5,000+ dedicated compute credits on high-end GPU clusters (A100/H100)",9 weeks full-time (70% receive multi-month fully funded extensions),February 2027,https://pivotalfellowship.org,"9-week intensive AI safety and alignment research sprint in London. Work 1-on-1 with mentors from Google DeepMind, Redwood Research, and leading safety labs with a dedicated GPU budget and co-working at the London Initiative for Safe AI."
